,Discipline,Gender,Number of coaches
0,Artistic Swimming,FEMALE,51
1,Artistic Swimming,MALE,6
2,Baseball/Softball,MALE,16
3,Baseball/Softball,FEMALE,9
4,Basketball,MALE,62
5,Basketball,FEMALE,12
6,Football,MALE,49
7,Football,FEMALE,9
8,Handball,MALE,27
9,Handball,FEMALE,2
10,Hockey,MALE,37
11,Hockey,FEMALE,7
12,Rugby Sevens,MALE,25
13,Volleyball,MALE,42
14,Volleyball,FEMALE,3
15,Water Polo,MALE,21
16,Water Polo,FEMALE,1
